Pair,p-value
AEP-CINF,0.00028380655281324147
BRK.B-MPWR,0.00028520623144018693
EQIX-TXN,0.00028877408700729264
ROL-DRI,0.00029132870284433074
AAPL-DE,0.0002915872138076227
DHI-MLM,0.00029324637033023034
HD-TXN,0.00029616995802806095
AEP-LHX,0.0002964400379526675
ACGL-ERIE,0.0002987894535136121
AKAM-CRL,0.00029937725994580076
ROK-DPZ,0.00029948358048882895
NSC-KDP,0.00030302885534300964
BRO-ETN,0.0003034264744870433
PH-APH,0.0003041196079282732
EW-NEE,0.00030540895424078086
MOH-DHR,0.000306108002351153
AON-PAYX,0.0003065038143351935
MPWR-MU,0.00030920483102638127
WM-MPWR,0.0003092448927691485
GOOGL-MCO,0.0003130177204434018
ROK-WAT,0.0003136788814103641
ERIE-BKNG,0.0003143652073766066
EMR-CMI,0.00031639061991669724
MLM-NVR,0.0003175274800369065
MSFT-AJG,0.00031961866546017695
STE-DPZ,0.0003197497853210147
CL-EXPE,0.0003200605924733902
WSM-TPL,0.00032220817327783575
ZBRA-CRL,0.0003222622439997335
ITW-ROL,0.00032231579815504146
AMZN-TYL,0.000322398340144673
TJX-VRTX,0.00032244110836258255
VICI-DE,0.00032329756023931637
MLM-BRO,0.0003253900164934063
MNST-AMGN,0.00032646744227786547
WM-PTC,0.0003272835850189696
LMT-GL,0.0003274190222347355
CPRT-VRTX,0.0003299723758172303
WTW-ERIE,0.0003310677688226422
SMCI-ETN,0.00033176764449783293
ADP-VRTX,0.0003321848628527466
DGX-AIZ,0.00033238104410182124
INCY-CAG,0.0003348344070146173
VMC-IR,0.00033532397162547355
COST-ERIE,0.0003356098709858804
MNST-GL,0.00033594417324705843
MPWR-NVR,0.0003360845643162929
ICE-SYK,0.00033671458799592246
ESS-HSIC,0.00033704132431040194
V-WTW,0.0003392979348389057
MKC-NKE,0.00033984329048277796
LMT-IEX,0.0003405046174201211
PCAR-MPWR,0.00034402789557007204
DECK-VRTX,0.00034546125032230816
FICO-JBL,0.0003493891041003318
SO-FTNT,0.00035016885390188967
PG-EFX,0.000352855052989243
AXON-WSM,0.0003537358566467602
EMR-WRB,0.00035416697838299
APD-STE,0.0003559813508616354
CL-UHS,0.0003561147134857583
IRM-WSM,0.000357797711531346
EQIX-HOLX,0.000357800859305023
SO-CMI,0.00035980693092052193
ERIE-AMAT,0.00036065907721777616
ROP-ROK,0.0003620937924441303
SJM-HSIC,0.0003622309823321644
APD-ADSK,0.00036235400886194715
TDG-PGR,0.00036305935613118703
PLD-KDP,0.0003693634133116879
BRK.B-ISRG,0.0003704833630996628
CLX-KMX,0.0003722408162759085
APD-EFX,0.00037406917599096446
ITW-WAT,0.0003776631596940439
AMZN-ICE,0.0003791154409987778
AEP-HON,0.0003819937995466621
KMX-CMCSA,0.00038378373552938014
APD-NSC,0.00038397013369486743
MAR-ACGL,0.0003841051026291432
PG-QCOM,0.0003852587959431035
COST-ETN,0.0003887946297952569
CHD-NDSN,0.0003903582732221578
FICO-HUBB,0.0003920099095540508
PG-FDS,0.000393233534850894
RSG-HLT,0.0003932941680552398
HD-TDY,0.00039518663175497094
MCO-VRSK,0.00039669141193816393
KMB-CMCSA,0.0003967483126071932
COST-WSM,0.00039738176328269414
URI-FICO,0.0003974188667979679
PLD-IQV,0.00040130849703216593
TEL-BLK,0.0004021967737303713
NSC-WEC,0.00040234804188730403
WTW-ISRG,0.00040325044622004086
CI-WAT,0.0004043042415204925
CI-AMGN,0.0004049384653512492
PCAR-ERIE,0.0004080697484644941
MCO-ERIE,0.00040828842490930775
APD-CHD,0.0004094591313192522
MTD-FDS,0.0004095311483275091
EQIX-CSGP,0.000410063798994381
ELV-WST,0.00041036232997863545
CINF-SPGI,0.0004108247001729552
TPL-TKO,0.00041108289788952397
A-DHR,0.0004152101254733925
PG-ROK,0.00041565753935002313
NVR-ISRG,0.00041660782582466407
DUK-PNC,0.0004167263474387548
AMGN-HON,0.0004174788906813791
ROP-MNST,0.00042043664679503425
COST-PH,0.00042455262127581364
AIZ-SCHW,0.00042655206367226285
GOOGL-DHI,0.0004266230566911576
AFL-WRB,0.00042723845545655846
CI-PKG,0.0004288341985852324
RSG-ERIE,0.0004290618966652183
AMT-XEL,0.00042909574235722707
ED-SNA,0.0004334495222221111
RSG-NVR,0.0004344051875162593
ORLY-PANW,0.0004385610782608076
CI-MNST,0.0004386802927218107
FICO-SNPS,0.0004392012197087592
JKHY-AMGN,0.0004421809462525842
EXPD-DGX,0.0004426809654019399
CI-ITW,0.00044437915388882286
WAT-DPZ,0.00044463666312719144
MAR-TRV,0.0004472164218978435
EFX-SNA,0.00044973515642871107
GOOG-FAST,0.00045040425466349294
KMX-CZR,0.0004523304293825922
PTC-PKG,0.00045245850825723923
MTD-WAT,0.0004557009615890301
BRO-ISRG,0.00045650115769154266
COST-HLT,0.000458940377951145
LNT-JKHY,0.00045909599962949904
MCHP-ADBE,0.0004608375079827787
IDXX-STE,0.0004638407953426836
DHI-STLD,0.0004641781219336482
UPS-HUM,0.000466077375347391
APD-WEC,0.00046906528651541264
MAR-WTW,0.0004691509473466415
RMD-LOW,0.000471859204701033
BR-DGX,0.0004728261335394121
RSG-MAR,0.00047470829823267554
CTAS-WSM,0.00047877880076325574
FICO-LRCX,0.0004790645559415199
WAT-IEX,0.00047984729604055415
TT-ETN,0.00048249684352366087
HCA-LRCX,0.0004833960894076907
POOL-DHR,0.00048405828969855523
CI-FDS,0.00048527342147777275
TER-AVY,0.0004858576793656716
BRK.B-TJX,0.00048596148168440366
LHX-LNT,0.0004887453009282949
MDLZ-EFX,0.0004895047898742303
HUM-IEX,0.000490662737826591
PG-APD,0.0004906959885815712
WTW-NVR,0.0004919195573375678
EQIX-SYY,0.0004920959926242597
EQIX-AEP,0.0004925180939210628
EQIX-VRSN,0.0004946586480863435
ADSK-WTW,0.0004980786021258676
CMG-PCAR,0.000498782585446927
EQIX-NTAP,0.0005008152980692843
SO-APO,0.0005037185271818263
MCHP-STE,0.0005051634759837975
PG-NDSN,0.0005077536021016115
CME-PEG,0.0005079957651996741
EQIX-GL,0.0005104104434647606
PH-APO,0.0005110627855800055
PTC-ERIE,0.0005119622486223567
COST-HUBB,0.0005135700260446849
RSG-MPWR,0.0005139302361426677
QCOM-DE,0.0005166100522340201
O-SJM,0.0005170264924918295
NOC-AMGN,0.0005173382864100097
HCA-MU,0.0005191050481728523
ROST-YUM,0.0005209696288396871
MCHP-FDS,0.0005215619456936745
HD-WTW,0.0005240187579147861
ROK-LH,0.0005267550931666297
IEX-JKHY,0.0005293163946530702
APD-JKHY,0.0005298283959241975
NOC-ULTA,0.0005321974525129773
ADSK-TTWO,0.0005326329809295169
ROP-EFX,0.0005332485175721424
SYY-JKHY,0.000534561090480442
RJF-PGR,0.0005372298894999925
AON-DOV,0.0005386704654589681
PG-AME,0.0005411290915770669
HSY-GPC,0.0005411534998829569
EW-SYY,0.0005414921339457431
ED-ATO,0.0005427042693604074
PH-AJG,0.0005438768893293919
OKE-ED,0.0005487739300265714
PFG-TXT,0.0005541668263101239
DPZ-HON,0.0005555155856426257
